Character,Actor/ess,Episodes_appeared,First_appearance,Last_appearance
Tyrion Lannister,Peter Dinklage,67,2011,2019
Cersei Lannister,Lena Headey,62,2011,2019
Daenerys Targaryen,Emilia Clarke,62,2011,2019
Jon Snow,Kit Harington,62,2011,2019
Sansa Stark,Sophie Turner,59,2011,2019
Arya Stark,Maisie Williams,59,2011,2019
Jaime Lannister,Nikolaj Coster-Waldau,55,2011,2019
Jorah Mormont,Iain Glen,52,2011,2019
Samwell Tarly,John Bradley,48,2011,2019
Theon Greyjoy,Alfie Allen,47,2011,2019
Lord Varys,Conleth Hill,46,2011,2019
Davos Seaworth,Liam Cunningham,42,2012,2019
Brienne of Tarth,Gwendoline Christie,42,2012,2019
Petyr 'Littlefinger' Baelish,Aidan Gillen,41,2011,2017
Bran Stark,Isaac Hempstead Wright,40,2011,2019
Sandor 'The Hound' Clegane,Rory McCann,38,2011,2019
Missandei,Nathalie Emmanuel,38,2013,2019
Bronn,Jerome Flynn,37,2011,2019
Podrick Payne,Daniel Portman,35,2012,2019
Grey Worm,Jacob Anderson,34,2013,2019
Eddison Tollett,Ben Crompton,34,2012,2019
Tormund Giantsbane,Kristofer Hivju,33,2013,2019
Grand Maester Pycelle,Julian Glover,31,2011,2016
Melisandre,Carice van Houten,29,2012,2019
Tywin Lannister,Charles Dance,27,2011,2015
Gilly,Hannah Murray,27,2012,2019
Margaery Tyrell,Natalie Dormer,26,2012,2016
Joffrey Baratheon,Jack Gleeson,26,2011,2014
Catelyn Stark,Michelle Fairley,26,2011,2016
Barristan Selmy,Ian McElhinney,25,2011,2015
Stannis Baratheon,Stephen Dillane,24,2012,2015
Gendry,Joe Dempsie,24,2011,2019
Hodor,Kristian Nairn,23,2011,2016
Qyburn,Anton Lesser,22,2013,2019
Grenn,Mark Stanley,22,2011,2014
Robb Stark,Richard Madden,22,2011,2016
Loras Tyrell,Finn Jones,21,2011,2016
Shae,Sibel Kekilli,20,2011,2014
Ramsay Bolton,Iwan Rheon,20,2013,2016
Roose Bolton,Michael McElhatton,20,2012,2016
Alliser Thorne,Owen Teale,19,2011,2016
Daario Naharis,Michiel Huisman,18,2014,2016
Olenna Tyrell,Diana Rigg,18,2013,2017
Tommen Baratheon,Dean-Charles Chapman,18,2013,2016
Ygritte,Rose Leslie,17,2012,2014
Jaqen H'ghar,Tom Wlaschiha,17,2012,2016
Gregor 'The Mountain' Clegane,Hafþór Júlíus Björnsson,17,2014,2019
Olly,Brenock O'Connor,17,2014,2016
Meryn Trant,Ian Beattie,17,2011,2015
Osha,Natalia Tena,16,2011,2016
Yara Greyjoy,Gemma Whelan,16,2012,2019
Meera Reed,Ellie Kendrick,16,2013,2017
Wun Wun,Ian Whyte,16,2011,2019
Lancel Lannister,Eugene Simon,16,2011,2016
Janos Slynt,Dominic Carter,15,2011,2015
Maester Luwin,Donald Sumpter,14,2011,2012
Ros,Esmé Bianco,14,2011,2013
Rickon Stark,Art Parkinson,14,2011,2016
Othell Yarwyck,Brian Fortune,14,2011,2016
Ellaria Sand,Indira Varma,13,2014,2017
Rodrik Cassel,Ron Donachie,13,2011,2012
Beric Dondarrion,Richard Dormer,13,2013,2019
Mace Tyrell,Roger Ashton-Griffiths,13,2014,2016
Yohn Royce,Rupert Vansittart,13,2014,2019
Pypar,Josef Altin,13,2011,2014
Irri,Amrita Acharia,13,2011,2012
High Sparrow,Jonathan Pryce,12,2015,2016
Jeor Mormont,James Cosmo,12,2011,2013
Maester Wolkan,Richard Rycroft,12,2016,2019
Kevan Lannister,Ian Gelder,12,2011,2016
Rast,Luke Barnes,12,2011,2014
Hot Pie,Ben Hawkey,12,2011,2017
Talisa Stark,Oona Chaplin,11,2012,2013
Maester Aemon,Peter Vaughan,11,2011,2015
The Waif,Faye Marsay,11,2015,2016
Doreah,Roxanne McKee,11,2011,2012
Qhono,Staz Nair,11,2016,2019
Eddard 'Ned' Stark,Sean Bean,10,2011,2011
Thoros of Myr,Paul Kaye,10,2013,2017
Selyse Baratheon,Tara Fitzgerald,10,2013,2015
Jojen Reed,Thomas Brodie-Sangster,10,2013,2014
Shireen Baratheon,Kerry Ingram,10,2013,2015
Bowen Marsh,Michael Condron,10,2015,2016
Khal Drogo,Jason Momoa,10,2011,2012
Euron Greyjoy,Pilou Asbæk,9,2016,2019
Edmure Tully,Tobias Menzies,9,2013,2019
Tyene Sand,Rosabell Laurenti Sellers,9,2015,2017
Lyanna Mormont,Bella Ramsey,9,2016,2019
Robin Arryn,Lino Facioli,9,2011,2019
Renly Baratheon,Gethin Anthony,8,2011,2012
Locke,Noah Taylor,8,2013,2014
Obara Sand,Keisha Castle-Hughes,8,2015,2017
Hizdahr zo Loraq,Joel Fry,8,2014,2015
Nymeria Sand,Jessica Henwick,8,2015,2017
Septa Unella,Hannah Waddingham,8,2015,2016
Myranda,Charlotte Hope,8,2013,2016
Kovarro,Steven Cole,8,2012,2012
Tommen Baratheon,Callum Wharry,8,2011,2012
Myrcella Baratheon,Aimee Richardson,8,2011,2012
Marei,Josephine Gillan,8,2012,2019
Robert Baratheon,Mark Addy,7,2011,2011
Oberyn Martell,Pedro Pascal,7,2014,2014
Yoren,Francis Magee,7,2011,2012
Brynden 'Blackfish' Tully,Clive Russell,7,2013,2016
Olyvar,Will Tudor,7,2013,2015
Rakharo,Elyes Gabel,7,2011,2012
Bernadette,Sara Dylan,7,2012,2017
Walder Frey,David Bradley,6,2011,2017
Benjen Stark,Joseph Mawle,6,2011,2017
Orell,Mackenzie Crook,6,2013,2013
Areo Hotah,Deobia Oparei,6,2015,2016
Septa Mordane,Susan Brown,6,2011,2011
Black Walder Rivers,Tim Plester,6,2013,2016
Qotho,Dar Salim,6,2011,2011
Dontos Hollard,Tony Way,6,2012,2014
Myrcella Baratheon,Nell Tiger Free,6,2015,2016
Anguy,Philip McGinley,6,2013,2013
High Septon,Paul Bentley,6,2013,2015
Alys Karstark,Megan Parkinson,6,2016,2019
Night's Watch Officer,Dennis McKeever,6,2011,2013
Viserys Targaryen,Harry Lloyd,5,2011,2011
Jory Cassel,Jamie Sives,5,2011,2011
Lysa Arryn,Kate Dickie,5,2011,2014
Mance Rayder,Ciarán Hinds,5,2013,2015
Craster,Robert Pugh,5,2012,2013
Doran Martell,Alexander Siddig,5,2015,2016
Xaro Xhoan Daxos,Nonso Anozie,5,2012,2012
Randyll Tarly,James Faulkner,5,2016,2017
Robett Glover,Tim McInnerny,5,2016,2017
Rickard Karstark,John Stahl,5,2012,2013
Dagmer Cleftjaw,Ralph Ineson,5,2012,2012
Walda Bolton,Elizabeth Webster,5,2014,2016
Trystane Martell,Toby Sebastian,5,2015,2016
The Night King,Vladimir 'Furdo' Furdik,5,2016,2019
Archmaester Ebrose,Jim Broadbent,4,2017,2017
Tycho Nestoris,Mark Gatiss,4,2014,2017
Balon Greyjoy,Patrick Malahide,4,2012,2016
Pyat Pree,Ian Hanmore,4,2012,2012
Styr,Yuri Kolokolnikov,4,2014,2014
Yezzan zo Qaggaz,Enzo Cilenti,4,2015,2016
Karl Tanner,Burn Gorman,4,2013,2014
Ilyn Payne,Wilko Johnson,4,2011,2012
Marillion,Emun Elliott,4,2011,2011
Dickon Tarly,Tom Hopper,4,2017,2017
Qhorin Halfhand,Simon Armstrong,4,2012,2012
Lothar Frey,Daniel Tuite,4,2016,2016
Rorge,Andy Beckwith,4,2012,2014
Lommy Greenhands,Eros Vlahos,4,2011,2012
Matthos Seaworth,Kerr Logan,4,2012,2012
Armeca,Sahara Knite,4,2011,2012
Royal Steward,Robert Sterne,4,2011,2011
Black Lorren,Forbes KB,4,2012,2012
Amory Lorch,Fintan McKeown,4,2012,2012
Biter,Gerard Jordan,4,2012,2014
Young Ned,Robert Aramayo,4,2016,2017
Baby Sam,William Nevan Wilson,4,2016,2017
Baby Sam,James Robert Wilson,4,2016,2017
Timett,Tobias Winter,4,2011,2012
Steelshanks Walton,Jamie Michie,4,2013,2013
Izembaro,Richard E. Grant,3,2016,2016
Lady Crane,Essie Davis,3,2016,2016
Spice King,Nicholas Blane,3,2012,2012
Three-Eyed Raven,Max von Sydow,3,2016,2016
Syrio Forel,Miltos Yerolemou,3,2011,2011
Harrag,Brendan Cowell,3,2017,2017
Salladhor Saan,Lucian Msamati,3,2012,2014
Daario Naharis,Ed Skrein,3,2013,2013
Greatjon Umber,Clive Mantle,3,2011,2011
Camello,Kevin Eldon,3,2016,2017
Harald Karstark,Paul Rattray,3,2016,2016
Giant Wight #2,Neil Fingleton,3,2014,2017
Leaf,Kae Alexander,4,2016,2016
Bobono,Leigh Gill,3,2016,2016
Razdal mo Eraz,George Georgiou,3,2013,2016
Lhara,Sarine Sofair,3,2014,2015
Clarenzo,Rob Callender,3,2016,2016
Thenn Warg,Joseph Gatt,3,2014,2014
Mirri Maz Duur,Mia Soteriou,3,2011,2011
Polliver,Andy Kellegher,3,2012,2014
Alton Lannister,Karl Davies,3,2012,2012
Khal Moro,Joseph Naufahu,3,2016,2016
Ned Umber,Harry Grasby,3,2017,2019
Kraznys mo Nakloz,Dan Hildebrand,3,2013,2013
Mossador,Reece Noi,3,2014,2015
White Walker,Ross Mullan,3,2012,2014
Rattleshirt,Edward Dogliani,3,2012,2013
Vala,Meena Rayann,3,2015,2016
Daisy,Maisie Dee,3,2012,2012
Bathhouse Prostitute,Samantha Bentley,3,2014,2015
Silk King,Slavko Juraga,3,2012,2012
Dothraki Bloodrider #1,Diogo Sales,3,2016,2016
Musician #1,Nanna Bryndís Hilmarsdóttir,3,2016,2016
Dothraki Bloodrider #2,Junade Khan,3,2016,2016
Musician #2,Ragnar Þórhallsson,3,2016,2016
Musician #3,Arnar Rosenkranz Hilmarsson,3,2016,2016
Musician #4,Brynjar Leifsson,3,2016,2016
Loyal Night's Watchman #2,Robert Fawsitt,3,2016,2016
Musician #5,Kristján Kristjánsson,3,2016,2016
King's Landing Whore,Xena Avramidis,3,2014,2015
Dothraki Woman Having Sex,Portia-Valis Volkova,3,2015,2016
Aggo,Chuku Modu,3,2016,2016
Frances,Annette Hannah,3,2016,2017
Brothel Patron #5,Derek Dubery,3,2015,2019
Hallyne,Roy Dotrice,2,2012,2012
Harry Strickland,Marc Rissmann,2,2019,2019
Illyrio Mopatis,Roger Allam,2,2011,2011
Lem Lemoncloak,Jóhannes Haukur Jóhannesson,2,2016,2016
Smalljon Umber,Dean Jagger,2,2016,2016
Martha,Bronte Carmichael,2,2019,2019
Mord,Ciaran Bermingham,2,2011,2011
Aeron Greyjoy,Michael Feast,2,2016,2016
Dim Dalba,Murray McArthur,2,2015,2016
Belicho Paenymion,Eddie Jackson,2,2016,2016
Fergus,Seamus O'Hara,2,2019,2019
Gatins,Ricky Champ,2,2016,2016
Teela,Bea Glancy,2,2019,2019
Old Nan,Margaret John,2,2011,2011
The Night King,Richard Brake,3,2014,2016
Morgan,Ian Davies,2,2016,2016
Woman with Elderly Parents,Lucy McConnell,2,2019,2019
Gregor 'The Mountain' Clegane,Conan Stevens,2,2011,2011
Malko,Adewale Akinnuoye-Agbaje,2,2015,2015
Thin Man,Oengus MacNamara,2,2015,2015
Lothar Frey,Tom Brooke,2,2013,2013
Bianca,Eline Powell,2,2016,2016
Vardis Egen,Brendan McCormack,2,2011,2011
Shagga,Mark Lewis Jones,2,2011,2011
Quaithe,Laura Pradelska,2,2012,2012
Margaery Tyrell Mummer,Eva Butterly,2,2016,2016
Old Woman,Stella McCusker,2,2015,2015
Baby Sam,Logan Watson,2,2019,2019
Hugh of the Vale,Jefferson Hall,2,2011,2011
Morag,Deirdre Monaghan,2,2014,2014
Todder,Will O'Connell,2,2013,2015
Johnna,Ali Lyons,2,2015,2015
Willa,Karla Lyons,2,2015,2015
Lady Kitty Frey,Lucy Hayes,2,2016,2017
Baby Sam,Finn Watson,2,2019,2019
Lyanna Stark,Aisling Franciosi,2,2016,2017
Village Woman,Eileen McCloskey,2,2019,2019
Farlen,Peter Ballance,2,2012,2012
Donnel Waynwood,Alisdair Simpson,2,2014,2014
Drennan,David Coakley,2,2012,2012
Sissy,Jane McGrath,2,2014,2014
Dosh khaleen High Priestess,Souad Faress,2,2016,2016
Zanrush,Gerald Lepkowski,2,2016,2016
King's Landing Whore,Emily Diamond,2,2011,2011
Ornela,Hannah John-Kamen,2,2016,2016
Young Nan,Annette Tierney,2,2016,2016
Kurleket,Kevin Keenan,2,2011,2011
Winterfell Shepherd,Donagh Deeney,2,2012,2012
The Tickler,Anthony Morris,2,2012,2012
Ghita,Hattie Gotobed,2,2015,2015
Wyllis,Sam Coleman,2,2016,2016
Morgan,Chris Reilly,2,2012,2014
Greizhen mo Ullhor,Cliff Barry,2,2013,2013
Mole's Town Whore,Lois Winstone,2,2014,2014
Willis Wode,Ryan McKenna,2,2011,2011
Jacks,Paul Caddell,2,2012,2012
Goldcloak,Sam Callis,2,2012,2012
King's Landing Rioter #1,Reg Wayment,2,2012,2012
Ternesio Terys,Gary Oliver,2,2014,2015
Moro's Wife #2,Fola Evans-Akingbola,2,2016,2016
Master Torturer,Michael Shelford,2,2013,2013
Great Master #1,Emilio Doorgasingh,2,2014,2014
Young Ned Stark,Sebastian Croft,2,2016,2016
Young Rodrik Cassel,Fergus Leathem,2,2016,2016
Mhaegen,Antonia Christophers,2,2011,2012
nan,Will Fortune,2,2014,2015
Mole's Town Madam,Lu Corfield,2,2014,2014
Lannister Captain,Aiden Condron,2,2012,2012
Quent,Aidan Crowe,2,2012,2012
Young Benjen Stark,Matteo Elezi,2,2016,2016
Dothraki Widow #1,Angelique Fernandez,2,2016,2016
Stark Guard,David Sheehan,2,2012,2012
Mummer #2,Glen Barry,2,2016,2016
Kayla,Pixie Le Knot,2,2013,2014
Manservant,Conor Watters,2,2014,2014
Mummer #3,Brendan O'Rourke,2,2016,2016
Tobho Mott,Andrew Wilde,2,2011,2012
Mummer #4,Ross Anderson-Doherty,2,2016,2016
Night's Watchman #1,Michael Hayes,2,2016,2016
Dothraki Widow #2,Wuese Houston-Jibo,2,2016,2016
Willem Lannister,Timothy Gibbons,2,2013,2013
Baratheon Soldier #2,Jason McLaughlin,2,2015,2015
Loyal Night's Watchman #1,Steve Cash,2,2016,2016
Night's Watchman #2,Tony Flynn,2,2016,2016
Night's Watchman,Michael Hooley,2,2016,2016
The Mother,Em Scribbler,2,2015,2015
Male Prostitute,Dennis Stokes,2,2012,2012
The Maiden,Rebecca Scott,2,2015,2015
The Crone,Rosie Ruthless,2,2015,2015
Arthur,Nathanael Saleh,2,2016,2016
Little Bird #4,Jesse Magee,2,2016,2016
Little Bird #3,Michael Nevin,2,2016,2016
Little Bird #6,Lucy Gallagher,2,2016,2016
Little Bird #5,Iona Clarke,2,2016,2016
Little Bird #7,Fionn Kernan,2,2016,2016
Three-Eyed Raven,Struan Rodger,2,2014,2014
Joyeuse Frey,Kelly Long,2,2011,2013
Tyrell Lady,Sophie Reid,2,2013,2013
Tommy,Tommy Dunne,2,2011,2014
Leo Lefford,Vinnie McCabe,2,2011,2011
Ironborn #2,Robert Render,2,2011,2016
Brother Ray,Ian McShane,1,2016,2016
Nora,Laura Elphinstone,1,2019,2019
Xela,Alexis Raben,1,2019,2019
Lannister Soldier,Matthew Wolf,1,2019,2019
Karsi,Birgitte Hjort Sørensen,1,2015,2015
Nora's Daughter,Tipper Seifert-Cleveland,1,2019,2019
Singing Lannister Soldier,Stephen Swift,1,2012,2012
Northern Sentry,Frank Blake,1,2019,2019
Dying Man,Barry McGovern,1,2014,2014
Loboda,Zachary Baharov,1,2015,2015
Lannister Soldier,Ryan McKen,1,2019,2019
Stark Soldier,Danny Kirrane,1,2017,2017
Unsullied Captain,Gabriel Akuwudike,1,2019,2019
Lannister Soldier,Owen Whitelaw,1,2019,2019
Imry Florent,Gordon Mahon,1,2012,2012
Captain of the Bolton Archers,Rory Mullen,1,2016,2016
Koner,Joseph Quinn,1,2017,2017
Ironborn Lord,Noel Harron,1,2019,2019
Young Woman,Rori Hawthorn,1,2019,2019
Mandon Moore,James Doran,1,2012,2012
Bolton General,Mark Tankersley,1,2016,2016
Northerner in Alley,Oliver Devoti,1,2019,2019
Dornish Prince,Toby Osmond,1,2019,2019
Jhiqui,Sarita Piotrowski,1,2011,2011
Baratheon Officer,Kieran Cunningham,1,2012,2012
Northman Rider,David Birkbeck,1,2016,2016
Melessa Tarly,Samantha Spiro,1,2016,2016
Winterfell Local,Breige Roche,1,2017,2017
Riverlands Lord,Andrew Bicknell,1,2019,2019
Lannister Soldier,Jim Tighe,1,2019,2019
Will,Bronson Webb,1,2011,2011
Captain of the Archers,Michael Grennell,1,2012,2012
Lord of Bones,Ross O'Hennessy,1,2015,2015
Northman Archer,Paul Garrett,1,2016,2016
Stark Soldier,Eamonn Keenan,1,2017,2017
Lord Une,Michael Benbaruk,1,2019,2019
Mycah,Rhodri Hosking,1,2011,2011
Jon Arryn,John Standing,1,2011,2011
Mero,Mark Killeen,1,2013,2013
Vale Lord,Frank Jakeman,1,2019,2019
Lannister Soldier,Luke McQuillan,1,2019,2019
Waymar Royce,Rob Ostlere,1,2011,2011
Prendahl na Ghezn,Ramon Tikaram,1,2013,2013
Goatherd,Philip Arditti,1,2014,2014
Northern Lord,Niall Bishop,1,2019,2019
King's Landing Citizen,Nicky Harley,1,2019,2019
Gared,Dermot Keaney,1,2011,2011
Catspaw Assassin,Lalor Roddy,1,2011,2011
Maester Cressen,Oliver Ford Davies,1,2012,2012
Septon,Kenneth Hadley,1,2013,2013
First Mate,Rhodri Miles,1,2014,2014
Citadel Maester,Julian Firth,1,2017,2017
Wight at Table,Javier Botet,1,2019,2019
King's Landing Citizen,Hayley McQuillan,1,2019,2019
Crying Man,Pádraig O'Grady,1,2019,2019
Lannister Guard,Conor Delaney,1,2011,2011
Maggy,Jodhi May,1,2015,2015
The Waif's Disguise,Margaret Jackman,1,2016,2016
Citadel Maester,Philip O'Sullivan,1,2017,2017
Lannister Soldier,Adam Devereux,1,2019,2019
Lannister,Eoin Duffy,1,2019,2019
Roslin Frey,Alexandra Dowling,1,2013,2013
Anya Waynwood,Paola Dionisotti,1,2014,2014
Bathhouse Prostitute,Samantha McEwan,1,2014,2014
Braavosi Captain,Morgan C. Jones,1,2015,2015
Ironborn #1,Darrell D'Silva,1,2016,2016
Westerosi Trader,Kevin Horsham,1,2016,2016
Street Red Priestess Meereen,Melanie Liburd,1,2016,2016
Goldcloak,Laurence Spellman,1,2017,2017
nan,Conor Maguire,1,2019,2019
Lannister Soldier,Thomas Martin,1,2019,2019
Willa,Alice Nokes,1,2019,2019
nan,Shane Whisker,1,2019,2019
Old Man,Sean Buckley,1,2013,2013
Yunkai'i Whore,Talitha Luke-Eardley,1,2013,2013
Ironborn in Skiff,Michael Hough,1,2014,2014
Black Armored White Walker,Tim Loane,1,2015,2015
Slaver,Michael Yare,1,2015,2015
Bear Island Maester,Louis Rolston,1,2016,2016
Rhaegar Targaryen,Wilf Scolding,1,2017,2017
Fergus' Friend,Thomas Finnegan,1,2019,2019
Sarra,Danielle Galligan,1,2019,2019
Lannister Soldier,Brian Patrick Kennedy,1,2019,2019
Villager 1,Lorcan Strain,1,2019,2019
Wine Merchant,Simon Lowe,1,2011,2011
Frey Guard,A.J. Kennedy,1,2013,2013
Prisoner,Marko Jelic,1,2014,2014
Great Master #1,Gianpiero Cognoli,1,2015,2015
Joss,James McKenzie Robinson,1,2015,2015
Volantene Whore #1,Katie Alexander Thom,1,2016,2016
High Septon Maynard,Tom Chadbon,1,2017,2017
King's Landing Citizen,Luna Kalo,1,2019,2019
Winterfell Girl,Emer McDaid,1,2019,2019
nan,Ella-Rose Sands,1,2019,2019
Pentoshi Servant,Rania Zouari,1,2011,2011
High Septon,David Verrey,1,2012,2012
Merry Frey,Grace Hendy,1,2013,2013
Bolton Guard,Anthony Boyle,1,2014,2014
Ralf Kenning,Grahame Fox,1,2014,2014
Pit Announcer,Nicholas Boulton,1,2015,2015
Street Red Priestess Volantis,Rila Fukushima,1,2015,2015
Winter Town Man,Raymond Keane,1,2015,2015
Northman Rioter,Jed Murray,1,2016,2016
Tully Bannerman,Sam Redford,1,2016,2016
Aerys Targaryen,David Rintoul,1,2016,2016
Crayah,Lucy Aarden,1,2019,2019
King's Landing Citizen,Caitlin Pharro,1,2019,2019
Varly,Graham Charles,1,2011,2011
Goldcloak,Alan Paris,1,2011,2011
Hog Farmer,Pat McGrath,1,2013,2013
Elder Meereen Slave,Philip Philmar,1,2014,2014
Great Master #2,Bobby Asghar,1,2015,2015
Wildling Rioter,Michael Patrick,1,2016,2016
Dickon Tarly,Freddie Stroma,1,2016,2016
Crossroads Inn Patron,Ben Fox,1,2017,2017
Stark Soldier,Luke Wilson Hanley,1,2017,2017
Lannister General,Guy Oliver-Watts,1,2017,2017
